smiles,CDK2_9606,GSK3B_10090,GSK3A_9606,GSK3B_10116,GSK3B_9606,ABL1_10090,LCK_9606,ZAP70_9606,ABL1_9606,LCK_10090
O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=CC(C2=CC(F)=CN=C2)=C(Cl)N=C1,,,,,,,,,1.0,
CN1CCN(C2=NC(C3=CC=NC=N3)=CC(=O)N2C)CC1,,,,,1.0,,,,,
CN1C=C(C2=NC3=C(C=C2)OC=C3C2=CC=CC(C3=CC=NC=C3)=C2)C=N1,,,0.0,,0.0,,,,,
OC1=CC2=CC(C3=CC=NC=C3)=CN=C2C=C1O,,,,,,,0.0,,,
COC1=CC(C2=NN(CCN3CCN(C)CC3)C3=NC=NC(N)=C23)=CC=C1NC(=O)OC(C)(C)C,,,,,,,,,0.0,
CC1CNCC(C(=O)NC2=NC=C(SCC3=NC=C(C(C)(C)C)O3)S2)C1,1.0,,,,,,,,,
O=C(NC1=CC=C(OC(F)(F)Cl)C=C1)C1=CN=C(N2CCC3(CNC3)C2)C(C2=CC=NN2)=C1,,,,,,,,,1.0,
CCC1=CC=C(C(=O)NC2=CC(CN3CCN(C)CC3)=CC(C(F)(F)F)=C2)C=C1C#CC1=CN=C(N)N=C1,,,,,,,,,1.0,
FC1=CC(NC2=NC=CC(C3=C4C=CC=NN4N=C3)=N2)=CC(F)=C1,1.0,,,0.0,1.0,,,,,
CSC1=NC(NCC2=CC=CC=C2)=C2C=NN(CC(Br)C3=CC=CC=C3)C2=N1,,,,,,,,,1.0,
COCC1OC(=O)C(=CN(CCO)C(C)(C)C)C2=C(O)C(=O)C3=C(C(OC(C)=O)CC4(C)C(O)CCC34)C21C,,,,,,,0.0,,,
C=CC(=O)NC1=CC=C(C(=O)N2CCCC(NC3=NC=C(SCC4=CN=C(C(F)(F)F)N=C4)S3)C2)C=C1,0.0,,,,,,,,,
